5	3	218	15730938	15730938	15730938
3	2	219	15730953	15730953	15730953
5	1	217	15730984	15730984	15730984
4	4	218	15731000	15731000	15731000
4	4	218	15731016	15731016	15731016
4	2	218	15731031	15731031	15731047
4	4	219	15731062	15731062	15731062
6	3	219	15731078	15731078	15731078
5	3	219	15731094	15731094	15731094
4	4	218	15731109	15731109	15731109
4	4	219	15731140	15731140	15731140
3	3	218	15731156	15731156	15731156
4	5	218	15731172	15731172	15731172
4	4	218	15731203	15731203	15731203
5	3	218	15731218	15731218	15731218
5	4	220	15731234	15731234	15731234
4	5	218	15731250	15731250	15731250
3	4	218	15731281	15731281	15731281
4	3	218	15731296	15731296	15731296
3	5	218	15731312	15731312	15731312
4	2	218	15731343	15731343	15731343
4	4	218	15731359	15731359	15731359
5	4	219	15731374	15731374	15731374
3	4	218	15731390	15731390	15731390
3	2	217	15731421	15731421	15731421
5	1	218	15731437	15731437	15731437
3	6	218	15731452	15731452	15731452
4	2	218	15731484	15731484	15731484
4	2	218	15731499	15731499	15731499
5	2	219	15731515	15731515	15731515
4	0	219	15731530	15731530	15731530
3	4	217	15731562	15731562	15731562
5	2	218	15731577	15731577	15731577
4	4	219	15731593	15731593	15731593
5	4	218	15731624	15731624	15731624
5	1	218	15731640	15731640	15731640
4	2	219	15731655	15731655	15731655
5	1	218	15731671	15731671	15731686
3	0	218	15731702	15731702	15731702
5	2	218	15731718	15731718	15731718
4	4	219	15731733	15731733	15731733
4	2	219	15731764	15731764	15731764
4	2	219	15731780	15731780	15731780
4	1	219	15731796	15731796	15731796
3	4	218	15731811	15731811	15731811
4	1	217	15731842	15731842	15731842
4	1	219	15731858	15731858	15731858
4	3	219	15731874	15731874	15731874
5	0	220	15731889	15731889	15731889
4	4	218	15731920	15731920	15731920
4	3	217	15731936	15731936	15731936
3	4	219	15731952	15731952	15731952
5	4	218	15731983	15731983	15731983
5	5	218	15731998	15731998	15731998
5	3	218	15732014	15732014	15732014
4	2	218	15732030	15732030	15732030
4	2	219	15732061	15732061	15732061
5	3	218	15732076	15732076	15732076
3	6	219	15732092	15732092	15732092
4	2	217	15732123	15732123	15732123
4	2	219	15732139	15732139	15732139
2	4	218	15732154	15732154	15732154
5	4	220	15732170	15732170	15732170
5	3	218	15732201	15732201	15732201
4	3	217	15732217	15732217	15732217
4	1	218	15732232	15732232	15732232
3	2	218	15732264	15732264	15732264
3	2	217	15732279	15732279	15732279
4	3	217	15732295	15732295	15732295
4	2	219	15732310	15732310	15732310
5	2	219	15732342	15732342	15732342
4	0	218	15732357	15732357	15732357
4	1	219	15732373	15732373	15732373
4	2	219	15732404	15732404	15732404
5	2	218	15732420	15732420	15732420
4	1	218	15732435	15732435	15732435
5	2	219	15732451	15732451	15732451
4	0	217	15732482	15732482	15732482
5	2	218	15732498	15732498	15732498
4	1	218	15732513	15732513	15732513
1	1	218	15732544	15732544	15732544
4	4	218	15732560	15732560	15732560
4	0	217	15732576	15732576	15732576
4	2	219	15732591	15732591	15732591
4	0	219	15732622	15732622	15732622
4	2	217	15732638	15732638	15732638
5	2	218	15732654	15732654	15732654
3	2	220	15732669	15732669	15732669
4	1	218	15732700	15732700	15732700
4	2	218	15732716	15732716	15732716
4	3	217	15732732	15732732	15732732
4	3	218	15732763	15732763	15732763
4	2	217	15732778	15732778	15732778
5	1	217	15732794	15732794	15732794
5	4	218	15732810	15732810	15732810
3	4	218	15732841	15732841	15732841
3	4	217	15732856	15732856	15732856
4	2	219	15732872	15732872	15732888
4	4	219	15732903	15732903	15732903
5	3	219	15732919	15732919	15732919
6	2	219	15732934	15732934	15732934
5	3	219	15732950	15732950	15732950
5	2	218	15732981	15732981	15732981
5	3	219	15732997	15732997	15732997
4	2	219	15733012	15733012	15733012
4	2	218	15733044	15733044	15733044
3	1	219	15733059	15733059	15733059
4	2	217	15733075	15733075	15733075
4	4	217	15733090	15733090	15733090
5	1	219	15733122	15733122	15733122
5	2	218	15733137	15733137	15733137
4	1	218	15733153	15733153	15733168
4	2	219	15733184	15733184	15733184
5	0	219	15733200	15733200	15733200
4	2	217	15733215	15733215	15733215
4	1	217	15733231	15733231	15733246
4	0	219	15733262	15733262	15733262
5	1	218	15733278	15733278	15733278
5	3	218	15733293	15733293	15733293
4	0	220	15733324	15733324	15733324
4	0	218	15733340	15733340	15733340
5	3	218	15733356	15733356	15733371
4	2	218	15733371	15733371	15733371
4	1	219	15733402	15733402	15733402
5	3	219	15733418	15733418	15733418
4	2	218	15733434	15733434	15733449
5	1	218	15733449	15733449	15733449
4	3	219	15733480	15733480	15733480
4	2	219	15733496	15733496	15733496
3	4	217	15733512	15733512	15733527
3	3	219	15733543	15733543	15733543
4	3	218	15733558	15733558	15733574
4	2	217	15733574	15733574	15733574
5	4	217	15733590	15733590	15733605
4	1	218	15733621	15733621	15733621
5	2	218	15733636	15733636	15733636
4	0	219	15733652	15733652	15733652
4	1	219	15733683	15733683	15733683
4	4	219	15733699	15733699	15733699
3	2	219	15733714	15733714	15733714
4	2	218	15733730	15733730	15733730
3	1	217	15733761	15733761	15733761
5	1	219	15733777	15733777	15733777
4	3	218	15733792	15733792	15733808
4	1	217	15733824	15733824	15733824
4	2	218	15733839	15733839	15733839
4	1	219	15733855	15733855	15733855
4	3	218	15733870	15733870	15733886
4	4	218	15733902	15733902	15733902
3	2	220	15733917	15733917	15733917
4	1	219	15733933	15733933	15733933
4	1	219	15733964	15733964	15733964
4	4	218	15733980	15733980	15733980
5	1	218	15733995	15733995	15733995
4	0	217	15734011	15734011	15734011
4	0	217	15734042	15734042	15734042
4	1	219	15734058	15734058	15734058
3	1	219	15734073	15734073	15734089
5	2	217	15734104	15734104	15734104
4	2	218	15734120	15734120	15734120
5	0	218	15734136	15734136	15734136
4	0	219	15734151	15734151	15734167
6	0	219	15734182	15734182	15734182
3	0	219	15734198	15734198	15734214
4	2	218	15734214	15734214	15734214
4	0	217	15734229	15734229	15734245
3	0	218	15734260	15734260	15734260
4	1	218	15734276	15734276	15734292
4	1	219	15734292	15734292	15734292
4	3	218	15734323	15734323	15734323
6	1	218	15734338	15734338	15734338
4	1	220	15734354	15734354	15734370
5	2	220	15734370	15734370	15734370
4	2	218	15734401	15734401	15734401
4	2	219	15734416	15734416	15734416
4	0	218	15734432	15734432	15734448
4	1	219	15734463	15734463	15734463
4	1	217	15734479	15734479	15734494
4	2	220	15734494	15734494	15734494
7	3	220	15734510	15734510	15734526
4	1	218	15734541	15734541	15734541
4	2	219	15734557	15734557	15734572
5	2	220	15734572	15734572	15734572
2	3	218	15734604	15734604	15734604
5	2	218	15734619	15734619	15734619
